dataset_id,dataset_role,model,mode,recall_at_5,recall_at_10,mrr_at_10,ndcg_at_10,negative_rejection_rate,wrong_collection_rate_at_10,hot_query_median_seconds,hot_query_p95_seconds,build_wall_seconds,model_cold_load_seconds,peak_rss_bytes,index_bytes
curated-regression-v1,regression_only,intfloat/multilingual-e5-small,vector,0.9047619047619048,0.9761904761904762,0.8571428571428571,0.8707896449795439,0.0,0.0,0.11790420790202916,0.20216233329847455,390.6549518746324,1.2534378338605165,999849984,210337792
curated-regression-v1,regression_only,intfloat/multilingual-e5-small,hybrid,0.9761904761904762,0.9761904761904762,0.8988095238095238,0.9024710462219663,0.0,0.0,0.204800354084,0.32297245785593987,390.6549518746324,1.2534378338605165,999849984,210337792
real-user-query-v1,independent_acceptance,intfloat/multilingual-e5-small,vector,0.24285714285714285,0.4857142857142857,0.26485260770975055,0.20681867722079558,0.0,0.8142857142857143,1.1228196879383177,1.3074811673723161,390.6549518746324,1.2534378338605165,999849984,210337792
real-user-query-v1,independent_acceptance,intfloat/multilingual-e5-small,hybrid,0.24285714285714285,0.34285714285714286,0.24206349206349206,0.1761514274757325,0.0,0.8,1.2281124165747315,1.494726208038628,390.6549518746324,1.2534378338605165,999849984,210337792
cross-scope-query-v1,independent_acceptance,intfloat/multilingual-e5-small,vector,0.3,1.0,0.2157936507936508,0.3855832435681225,0.0,0.86,1.1499175631906837,1.5894797500222921,390.6549518746324,1.2534378338605165,999849984,210337792
cross-scope-query-v1,independent_acceptance,intfloat/multilingual-e5-small,hybrid,0.3,1.0,0.3157936507936508,0.43084212067430594,0.0,0.86,1.2360995840281248,1.4654869576916099,390.6549518746324,1.2534378338605165,999849984,210337792
curated-regression-v1,regression_only,intfloat/multilingual-e5-base,vector,0.9761904761904762,0.9761904761904762,0.8571428571428571,0.8711572113394556,0.0,0.0,0.1450458539184183,0.22978224977850914,1193.4151593749411,2.9667406673543155,1025474560,256344064
curated-regression-v1,regression_only,intfloat/multilingual-e5-base,hybrid,0.9761904761904762,0.9761904761904762,0.9107142857142857,0.9118231714770705,0.0,0.0,0.22030162438750267,0.3355506672523916,1193.4151593749411,2.9667406673543155,1025474560,256344064
real-user-query-v1,independent_acceptance,intfloat/multilingual-e5-base,vector,0.14285714285714285,0.2714285714285714,0.06031746031746032,0.09398145388319996,0.0,0.8,1.289641542127356,1.4735138337127864,1193.4151593749411,2.9667406673543155,1025474560,256344064
real-user-query-v1,independent_acceptance,intfloat/multilingual-e5-base,hybrid,0.24285714285714285,0.34285714285714286,0.23015873015873017,0.16624807862907437,0.0,0.8,1.3677939579356462,1.6703692092560232,1193.4151593749411,2.9667406673543155,1025474560,256344064
cross-scope-query-v1,independent_acceptance,intfloat/multilingual-e5-base,vector,0.2,0.7,0.11579365079365078,0.24154601545454754,0.0,0.88,1.3156273963395506,1.5793305421248078,1193.4151593749411,2.9667406673543155,1025474560,256344064
cross-scope-query-v1,independent_acceptance,intfloat/multilingual-e5-base,hybrid,0.2,0.9,0.14436507936507936,0.3082126821212142,0.0,0.86,1.413386353990063,1.757955666165799,1193.4151593749411,2.9667406673543155,1025474560,256344064
curated-regression-v1,regression_only,BAAI/bge-m3,vector,0.9761904761904762,0.9761904761904762,0.9285714285714286,0.9305157245808241,0.0,0.0,0.1879642284475267,0.3566199578344822,4148.556874250062,4.876307750120759,1023492096,263532544
curated-regression-v1,regression_only,BAAI/bge-m3,hybrid,0.9761904761904762,0.9761904761904762,0.9166666666666667,0.9211635993257199,0.0,0.0,0.27430625003762543,0.4064329173415899,4148.556874250062,4.876307750120759,1023492096,263532544
real-user-query-v1,independent_acceptance,BAAI/bge-m3,vector,0.21428571428571427,0.4857142857142857,0.11842403628117913,0.1773591269298674,0.0,0.8142857142857143,1.4961886249948293,2.4504258329980075,4148.556874250062,4.876307750120759,1023492096,263532544
real-user-query-v1,independent_acceptance,BAAI/bge-m3,hybrid,0.24285714285714285,0.34285714285714286,0.23015873015873017,0.16624807862907437,0.0,0.8142857142857143,1.619818604318425,2.5170562909916043,4148.556874250062,4.876307750120759,1023492096,263532544
cross-scope-query-v1,independent_acceptance,BAAI/bge-m3,vector,0.2,0.7,0.1257936507936508,0.25031076562231785,0.0,0.88,2.397586041362956,3.1888503339141607,4148.556874250062,4.876307750120759,1023492096,263532544
cross-scope-query-v1,independent_acceptance,BAAI/bge-m3,hybrid,0.2,1.0,0.15436507936507934,0.35242528964579406,0.0,0.88,2.7739586664829403,3.9870942081324756,4148.556874250062,4.876307750120759,1023492096,263532544
