[官方 P2/P3] 训练 60000、评价干净 15000、对抗 k2 7500/krand 7500/maskdga 7500
[A] 分层 lr：骨干 23654400 参数 @1e-6，分类头 525826 参数 @1e-4
[A] 官方模型 24180226 参数，训练 60000 样本 × 3 epochs
[A 心跳] epoch 1 批 1/469 loss=0.0570 ETA 23.4 min
[A 心跳] epoch 1 批 21/469 loss=0.0996 ETA 13.6 min
[A 心跳] epoch 1 批 41/469 loss=0.0373 ETA 12.1 min
[A 心跳] epoch 1 批 61/469 loss=0.0837 ETA 11.4 min
[A 心跳] epoch 1 批 81/469 loss=0.0796 ETA 10.6 min
[A 心跳] epoch 1 批 101/469 loss=0.0359 ETA 10.4 min
[A 心跳] epoch 1 批 121/469 loss=0.1383 ETA 9.9 min
[A 心跳] epoch 1 批 141/469 loss=0.0840 ETA 9.3 min
[A 心跳] epoch 1 批 161/469 loss=0.0749 ETA 8.8 min
[A 心跳] epoch 1 批 181/469 loss=0.0367 ETA 8.2 min
[A 心跳] epoch 1 批 201/469 loss=0.0842 ETA 7.6 min
[A 心跳] epoch 1 批 221/469 loss=0.1250 ETA 7.0 min
[A 心跳] epoch 1 批 241/469 loss=0.1020 ETA 6.4 min
[A 心跳] epoch 1 批 261/469 loss=0.0457 ETA 5.8 min
[A 心跳] epoch 1 批 281/469 loss=0.0357 ETA 5.3 min
[A 心跳] epoch 1 批 301/469 loss=0.0337 ETA 4.7 min
[A 心跳] epoch 1 批 321/469 loss=0.0744 ETA 4.1 min
[A 心跳] epoch 1 批 341/469 loss=0.1286 ETA 3.6 min
[A 心跳] epoch 1 批 361/469 loss=0.0443 ETA 3.0 min
[A 心跳] epoch 1 批 381/469 loss=0.0561 ETA 2.4 min
[A 心跳] epoch 1 批 401/469 loss=0.0307 ETA 1.9 min
[A 心跳] epoch 1 批 421/469 loss=0.0282 ETA 1.3 min
[A 心跳] epoch 1 批 441/469 loss=0.0833 ETA 0.8 min
[A 心跳] epoch 1 批 461/469 loss=0.0691 ETA 0.2 min
/opt/miniconda3/envs/rwkv/lib/python3.14/site-packages/torch/nn/modules/transformer.py:480: UserWarning: The operator 'aten::_nested_tensor_from_mask_left_aligned' is not currently supported on the MPS backend and will fall back to run on the CPU. This may have performance implications. (Triggered internally at /Users/runner/work/pytorch/pytorch/aten/src/ATen/mps/MPSFallback.mm:34.)
  elif do_mask_check and not torch._nested_tensor_from_mask_left_aligned(
[A 里程碑] epoch 1/3 完成，干净 FPR=0.0145（823.3s）
