x,t,rho,i1_residual
0,0.5,0,0
0.1,0.5,0,0
0.2,0.5,0,0
0.5,0.5,0,0
0.7,0.5,0,0
0.8,0.5,0,0
0.9,0.5,0,0
0,1,0,58
0.1,1,0,58
0.2,1,0,58
0.5,1,0,0
0.7,1,0,0
0.8,1,0,0
0.9,1,0,0
0,1.5,788840,8.02822e+06
0.1,1.5,788840,8.02822e+06
0.2,1.5,788840,8.02822e+06
0.5,1.5,5.28791e+07,0
0.7,1.5,1.65556e+07,7.88339e+06
0.8,1.5,1.65556e+07,7.88339e+06
0.9,1.5,1.65556e+07,7.88339e+06
0,2,871008,8.61417e+06
0.1,2,857088,8.55501e+06
0.2,2,857088,8.55501e+06
0.5,2,5.66488e+07,0
0.7,2,1.82569e+07,8.69299e+06
0.8,2,1.83881e+07,8.75156e+06
0.9,2,1.82569e+07,8.69299e+06
0,2.5,885064,8.75204e+06
0.1,2.5,870912,8.69299e+06
0.2,2.5,870912,8.69299e+06
0.5,2.5,5.66529e+07,0
0.7,2.5,1.79671e+07,8.55501e+06
0.8,2.5,1.80994e+07,8.61406e+06
0.9,2.5,1.79671e+07,8.55501e+06
0,3,857320,8.55489e+06
0.1,3,857088,8.55501e+06
0.2,3,857088,8.55501e+06
0.5,3,5.73433e+07,0
0.7,3,1.80611e+07,8.5998e+06
0.8,3,1.80622e+07,8.60028e+06
0.9,3,1.80634e+07,8.60087e+06
0,3.5,857088,8.55501e+06
0.1,3.5,857088,8.55501e+06
0.2,3.5,857088,8.55501e+06
0.5,3.5,5.6514e+07,0
0.7,3.5,1.81629e+07,8.6482e+06
0.8,3.5,1.81629e+07,8.6482e+06
0.9,3.5,1.81606e+07,8.64713e+06
0,4,884832,8.75216e+06
0.1,4,870912,8.69299e+06
0.2,4,870912,8.69299e+06
0.5,4,5.70297e+07,0
0.7,4,1.79671e+07,8.55501e+06
0.8,4,1.80983e+07,8.61357e+06
0.9,4,1.79671e+07,8.55501e+06
0,4.5,871240,8.61406e+06
0.1,4.5,857088,8.55501e+06
0.2,4.5,857088,8.55501e+06
0.5,4.5,5.70763e+07,0
0.7,4.5,1.82569e+07,8.69299e+06
0.8,4.5,1.83891e+07,8.75204e+06
0.9,4.5,1.82569e+07,8.69299e+06
0,5,865852,8.64005e+06
0.1,5,865620,8.64017e+06
0.2,5,865944,8.6434e+06
0.5,5,5.65154e+07,0
0.7,5,1.79671e+07,8.55501e+06
0.8,5,1.79682e+07,8.55549e+06
0.9,5,1.79671e+07,8.55501e+06
0,5.5,862380,8.60783e+06
0.1,5.5,862380,8.60783e+06
0.2,5.5,862056,8.6046e+06
0.5,5.5,5.7342e+07,0
0.7,5.5,1.79671e+07,8.55501e+06
0.8,5.5,1.79671e+07,8.55501e+06
0.9,5.5,1.79671e+07,8.55501e+06
0,6,871008,8.61417e+06
0.1,6,857088,8.55501e+06
0.2,6,857088,8.55501e+06
0.5,6,5.66494e+07,0
0.7,6,1.82569e+07,8.69299e+06
0.8,6,1.83881e+07,8.75156e+06
0.9,6,1.82569e+07,8.69299e+06
0,6.5,1.57765e+06,1.47964e+07
0.1,6.5,1.56749e+06,1.47773e+07
0.2,6.5,1.56749e+06,1.47773e+07
0.5,6.5,9.71642e+07,0
0.7,6.5,5.62526e+07,2.66444e+07
0.8,6.5,1.80994e+07,8.61406e+06
0.9,6.5,1.79671e+07,8.55501e+06
0,7,1.56938e+06,1.46744e+07
0.1,7,1.56515e+06,1.46346e+07
0.2,7,1.56504e+06,1.46346e+07
0.5,7,9.80272e+07,0
0.7,7,5.65625e+07,2.67908e+07
0.8,7,1.80859e+07,8.61155e+06
0.9,7,1.80871e+07,8.61214e+06
0,7.5,868456,8.54932e+06
0.1,7.5,869212,8.55687e+06
0.2,7.5,869328,8.55681e+06
0.5,7.5,5.673e+07,0
0.7,7.5,1.85731e+07,8.84239e+06
0.8,7.5,1.81392e+07,8.63694e+06
0.9,7.5,1.81369e+07,8.63586e+06
0,8,884184,8.74569e+06
0.1,8,870156,8.68545e+06
0.2,8,870156,8.68545e+06
0.5,8,5.69071e+07,0
0.7,8,1.79671e+07,8.55501e+06
0.8,8,1.80983e+07,8.61357e+06
0.9,8,1.79671e+07,8.55501e+06
0,8.5,1.56847e+06,1.47048e+07
0.1,8.5,1.55367e+06,1.46393e+07
0.2,8.5,1.55367e+06,1.46393e+07
0.5,8.5,9.77546e+07,0
0.7,8.5,5.62526e+07,2.66444e+07
0.8,8.5,1.83597e+07,8.73803e+06
0.9,8.5,1.82275e+07,8.67898e+06
0,9,1.56538e+06,1.46345e+07
0.1,9,1.57227e+06,1.47069e+07
0.2,9,1.5725e+06,1.47079e+07
0.5,9,9.72177e+07,0
0.7,9,5.68544e+07,2.69298e+07
0.8,9,1.79976e+07,8.56951e+06
0.9,9,1.79965e+07,8.56902e+06
0,9.5,878284,8.64742e+06
0.1,9.5,875160,8.61502e+06
0.2,9.5,874936,8.614e+06
0.5,9.5,5.72241e+07,0
0.7,9.5,1.82812e+07,8.70341e+06
0.8,9.5,1.80146e+07,8.57765e+06
0.9,9.5,1.80146e+07,8.57765e+06
